Field,C,Odin
dirent,280,280
flock,32,32
glob_t,72,72
group,32,32
lconv,96,96
pthread_t,8,8
pthread_attr_t,56,56
pthread_key_t,4,4
termios,60,60
in_addr,4,4
in6_addr,16,16
sockaddr_in,16,16
sockaddr_in6,28,28
ipv6_mreq,20,20
sockaddr_storage,128,128
msghdr,56,56
linger,8,8
hostent,32,32
netent,24,24
protoent,24,24
servent,32,32
addrinfo,48,48
ai_canonname,32,32
pollfd,8,8
passwd,48,48
shmid_ds,112,112
ipc_perm,48,48
msqid_ds,120,120
rlimit,16,16
sockaddr_un,110,110
utsname,390,390
tms,32,32
sigaction,152,152
stack_t,24,24
siginfo_t,128,128
fd_set,128,128
iovec,16,16
semid_ds,104,104
sembuf,6,6
itimerval,32,32
utimbuf,16,16
wordexp_t,24,24
time_t,8,8
timespec,16,16
clock_t,8,8
PTHREAD_CANCEL_ASYNCHRONOUS,1,1
PTHREAD_CANCEL_DEFERRED,0,0
PTHREAD_CANCEL_DISABLE,1,1
PTHREAD_CANCEL_ENABLE,0,0
PTHREAD_CANCELED,0xffffffffffffffff,0xffffffffffffffff
PTHREAD_CREATE_JOINABLE,0,0
PTHREAD_CREATE_DETACHED,1,1
PTHREAD_EXPLICIT_SCHED,1,1
PTHREAD_INHERIT_SCHED,0,0
PTHREAD_PRIO_INHERIT,1,1
PTHREAD_PRIO_NONE,0,0
PTHREAD_PRIO_PROTECT,2,2
PTHREAD_PROCESS_SHARED,1,1
PTHREAD_PROCESS_PRIVATE,0,0
PTHREAD_SCOPE_PROCESS,1,1
PTHREAD_SCOPE_SYSTEM,0,0

# Differences
cmsghdr,"16/4","16/8"
rusage,272,144
